aggregator,channel_set,g,metric_name,metric_value,model_family,run_id,stride,summary_path,ticket_stage,track,view_mode,window_size
majority_vote,,25,file_acc@1,64.0,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/majority_vote/summary_metrics.json,t07,exact-upstream,diff,100
majority_vote,,25,file_acc@5,88.0,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/majority_vote/summary_metrics.json,t07,exact-upstream,diff,100
majority_vote,,25,file_macro_precision,51.9,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/majority_vote/summary_metrics.json,t07,exact-upstream,diff,100
majority_vote,,25,file_macro_recall,64.0,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/majority_vote/summary_metrics.json,t07,exact-upstream,diff,100
majority_vote,,25,file_macro_f1,55.46666666666666,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/majority_vote/summary_metrics.json,t07,exact-upstream,diff,100
mean_logits,,25,file_acc@1,66.0,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_logits/summary_metrics.json,t07,exact-upstream,diff,100
mean_logits,,25,file_acc@5,98.0,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_logits/summary_metrics.json,t07,exact-upstream,diff,100
mean_logits,,25,file_macro_precision,56.56666666666666,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_logits/summary_metrics.json,t07,exact-upstream,diff,100
mean_logits,,25,file_macro_recall,66.0,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_logits/summary_metrics.json,t07,exact-upstream,diff,100
mean_logits,,25,file_macro_f1,59.133333333333326,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_logits/summary_metrics.json,t07,exact-upstream,diff,100
mean_probabilities,,25,file_acc@1,66.0,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_probabilities/summary_metrics.json,t07,exact-upstream,diff,100
mean_probabilities,,25,file_acc@5,94.0,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_probabilities/summary_metrics.json,t07,exact-upstream,diff,100
mean_probabilities,,25,file_macro_precision,56.166666666666664,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_probabilities/summary_metrics.json,t07,exact-upstream,diff,100
mean_probabilities,,25,file_macro_recall,66.0,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_probabilities/summary_metrics.json,t07,exact-upstream,diff,100
mean_probabilities,,25,file_macro_f1,58.733333333333334,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/e0_transformer_cls_w100_g25-20260401-020535-86efd02e/mean_probabilities/summary_metrics.json,t07,exact-upstream,diff,100
majority_vote,,25,file_acc@1,66.0,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/majority_vote/summary_metrics.json,t08,exact-upstream,diff,100
majority_vote,,25,file_acc@5,92.0,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/majority_vote/summary_metrics.json,t08,exact-upstream,diff,100
majority_vote,,25,file_macro_precision,57.06666666666666,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/majority_vote/summary_metrics.json,t08,exact-upstream,diff,100
majority_vote,,25,file_macro_recall,66.0,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,/Users/jeremykalfus/CodingProjects/smelt/results/file-level-eval/f1_cnn_cls_w100_g25-20260401-030915-420a9ae4/majority_vote/summary_metrics.json,t08,exact-upstream,diff,100
